Language_ID,Language_Name,ISO_Code,Family_ID,Genus_ID,Status,Macroarea,Latitude,Longitude,Countrycodes
,Arapesh (Abu),,1,1,unknown,,-3.45,142.95,PG
aari1239,Aari,aiw,2,2,safe,Africa,5.95034,36.5721,ET
abau1245,Abau,aau,3,3,safe,Papunesia,-3.97222,141.324,PG
chad1249,Arabic (Abbéché Chad),shu,2,4,unknown,Africa,14.67,13.5,TD
abid1235,Abidji,abi,4,5,unknown,Africa,5.65656,-4.58421,CI
nort3139,Arabic (Beirut),apc,2,4,unknown,Eurasia,34.1709,36.0468,LB
baha1259,Arabic (Bahrain),abv,2,4,safe,Eurasia,26.223615,50.580811,BH
abip1241,Abipón,axb,5,6,extinct,South America,-29.0,-61.0,AR
abkh1244,Abkhaz,abk,6,7,unknown,Eurasia,43.056218,41.159115,GE
alab1237,Alabama,akz,7,8,definitely endangered,North America,30.76738,-94.62848,US
arab1267,Arabana,ard,8,9,critically endangered,Australia,-28.705,135.449,AU
arbo1245,Arbore,arv,2,10,definitely endangered,Africa,4.92183,36.7986,ET
abun1252,Abun,kgr,9,11,unknown,Papunesia,-0.57073,132.416,ID
abui1241,Abui,abz,10,12,unknown,Papunesia,-8.31058,124.588,ID
west2630,Abenaki (Western),abe,11,13,critically endangered,North America,46.1381,-72.6511,US CA
abaz1241,Abaza,abq,6,7,unknown,Eurasia,41.1214,42.7273,RU
achi1257,Acehnese,ace,12,14,unknown,Eurasia,3.90757,96.6032,ID
acha1250,Achagua,aca,13,15,severely endangered,South America,4.38649,-72.2005,CO
ache1246,Aché,guq,14,16,definitely endangered,South America,-25.5865,-56.4697,PY
quic1275,Achí,acr,15,17,unknown,North America,15.1666666667,-90.5,GT
acol1236,Acholi,ach,16,18,unknown,Africa,3.57738,32.5147,UG SD
achu1247,Achumawi,acv,17,19,critically endangered,North America,41.0979,-121.191,US
acha1249,Achang,acn,18,20,unknown,Eurasia,24.3479,97.7438,MM CN
west2632,Acoma,kjq,19,21,definitely endangered,North America,34.9733,-107.517,US
achu1248,Achuar,acu,20,22,unknown,South America,-2.82646,-77.2641,PE
adam1238,Adamorobe Sign Language,ads,21,23,safe,Africa,5.834,-0.151,GH
adan1251,Adang,adn,10,12,safe,Papunesia,-8.18958,124.448,ID
adio1239,Adioukrou,adj,4,5,safe,Africa,5.41666666667,-4.58333333333,CI
ando1256,Andoke,ano,22,24,severely endangered,South America,-0.53751,-72.0869,CO
adny1235,Adynyamathanha,adt,8,9,definitely endangered,Australia,-30.5,139.5,AU
adyg1241,Adyghe (Temirgoy),ady,6,7,unknown,Eurasia,45.2166666667,39.7,RU
adze1240,Adzera,adz,12,25,safe,Papunesia,-6.25,146.25,PG
aleu1260,Aleut (Eastern),ale,23,26,unknown,North America,52.1228,-174.29,US
egyp1253,Arabic (Egyptian),arz,2,4,unknown,Africa,31.0,31.0,EG
liby1240,Arabic (Eastern Libyan),ayl,2,4,unknown,Africa,22.0032,15.0014,LY
afri1274,Afrikaans,afr,24,27,unknown,Africa,-31.0,22.0,ZA
agar1252,Agarabi,agd,25,28,safe,Papunesia,-6.16666666667,146.0,PG
legb1242,Leggbó,agb,4,29,safe,Africa,6.02645,7.98385,NG
cent2084,Agta (Central),agt,12,30,vulnerable,Papunesia,17.9571,121.857,PH
dupa1235,Agta (Dupaningan),duo,12,30,unknown,Papunesia,17.3748,122.188,PH
aghe1239,Aghem,agq,4,31,safe,Africa,6.66666666667,10.0,CM
aghu1253,Aghul,agx,26,32,unknown,Eurasia,41.75,47.6666666667,RU
anga1287,Angami,nri,18,33,unknown,Eurasia,25.6666666667,94.5,IN
ango1258,Angolar,aoa,21,34,safe,Africa,0.11438,6.59486,ST
agua1253,Aguaruna,agr,20,22,vulnerable,South America,-5.0,-78.0,PE
leni1238,Anguthimri,lnj,8,35,extinct,Australia,-20.0,145.0,AU
agua1252,Aguacatec,agu,15,17,safe,North America,15.4166666667,-91.3333333333,GT
alag1248,Alagwa,wbj,2,36,safe,Africa,-4.64148,35.7231,TZ
arap1274,Arapaho,arp,11,13,safe,North America,43.3879,-108.81,US
hass1238,Arabic (Bani-Hassan),mey,2,4,safe,Africa,20.1464,-2.40278,MR
ahte1237,Ahtna,aht,27,37,critically endangered,North America,62.0,-145.0,US
aghu1255,Aghu,ahh,25,38,safe,Papunesia,-6.16666666667,140.166666667,ID
aika1237,Aikaná,tba,28,39,definitely endangered,South America,-12.6695,-60.5353,BR
ainu1240,Ainu,ain,29,40,unknown,Eurasia,43.633654,142.46167,JP
apro1235,Aizi,ahp,4,41,safe,Africa,5.20273,-4.52192,CI
ajas1235,Aja,aja,30,42,critically endangered,Africa,8.58003,25.6122,SD CF
ajab1235,Ajagbe,ajg,4,5,unknown,Africa,7.06634,1.64992,TG BJ
ajie1238,Ajië,aji,12,25,safe,Papunesia,-21.3029,165.468,NC
yaka1272,Aka,axk,4,31,unknown,Africa,3.6515,17.2713,CF CG
akab1249,Aka-Biada,abj,31,43,extinct,Eurasia,12.3782,92.7818,IN
akac1240,Aka-Cari,aci,31,43,extinct,Eurasia,13.49086,92.94855,IN
akha1245,Akha,ahk,18,20,unknown,Eurasia,21.2309,100.964,MM TH CN
akak1252,Aka-Kede,akx,31,43,extinct,Eurasia,12.8494,92.8227,IN
akla1241,Aklanon,akl,12,30,safe,Papunesia,11.5543,122.354,PH
