Family_Name,Total_Languages,Endangered_Languages,Endangerment_Rate_Percentage
aikaná,1,1,100.00
great andamanese,4,4,100.00
huarpe,1,1,100.00
harakmbet,1,1,100.00
andoke,1,1,100.00
zaparoan,3,3,100.00
tacanan,4,4,100.00
tacame,1,1,100.00
atakapa,1,1,100.00
barbacoan,4,4,100.00
zamucoan,1,1,100.00
chumash,2,2,100.00
beothuk,1,1,100.00
betoi,1,1,100.00
bororoan,1,1,100.00
bunuban,2,2,100.00
camsá,1,1,100.00
cayuvava,1,1,100.00
aymaran,2,2,100.00
cholon,1,1,100.00
chitimacha,1,1,100.00
coahuiltecan,1,1,100.00
comecrudan,1,1,100.00
cuitlatec,1,1,100.00
jabutí,1,1,100.00
choco,5,5,100.00
esselen,1,1,100.00
guató,1,1,100.00
hadza,1,1,100.00
itonama,1,1,100.00
iwaidjan,2,2,100.00
kalapuyan,1,1,100.00
eastern daly,2,2,100.00
katukinan,1,1,100.00
kapixana,1,1,100.00
karankawa,1,1,100.00
karok,1,1,100.00
yeniseian,3,3,100.00
jarrakan,2,2,100.00
kunza,1,1,100.00
kuot,1,1,100.00
kutenai,1,1,100.00
kwaza,1,1,100.00
leko,1,1,100.00
lule,1,1,100.00
máku,1,1,100.00
chimúan,1,1,100.00
moraori,1,1,100.00
mosetenan,1,1,100.00
movima,1,1,100.00
northern daly,2,2,100.00
natchez,1,1,100.00
nahali,1,1,100.00
yukaghir,2,2,100.00
chon,3,3,100.00
sáliban,2,2,100.00
puinave,1,1,100.00
yaruro,1,1,100.00
puquina,1,1,100.00
tarascan,1,1,100.00
alacalufan,1,1,100.00
salinan,1,1,100.00
huavean,1,1,100.00
shabo,1,1,100.00
sulung,1,1,100.00
gapun,1,1,100.00
takelma,1,1,100.00
taushiro,1,1,100.00
ticuna,1,1,100.00
timote-cuica,1,1,100.00
timucua,1,1,100.00
tiwian,1,1,100.00
tol,1,1,100.00
tonkawa,1,1,100.00
trumai,1,1,100.00
tunica,1,1,100.00
urarina,1,1,100.00
wagiman,1,1,100.00
waorani,1,1,100.00
warao,1,1,100.00
yangmanic,1,1,100.00
chapacura-wanham,1,1,100.00
washo,1,1,100.00
tu,2,2,100.00
peba-yaguan,1,1,100.00
yámana,1,1,100.00
yuchi,1,1,100.00
yurimangí,1,1,100.00
zuni,1,1,100.00
na-dene,24,23,95.83
gunwinyguan,9,8,88.89
totonacan,6,5,83.33
wakashan,5,4,80.00
arawakan,28,22,78.57
macro-ge,13,10,76.92
jivaroan,4,3,75.00
mangarrayi-maran,4,3,75.00
iroquoian,8,6,75.00
cariban,17,12,70.59
hokan,18,12,66.67
muskogean,6,4,66.67
oregon coast,3,2,66.67
tucanoan,18,12,66.67
nadahup,3,2,66.67
mirndi,3,2,66.67
tangkic,3,2,66.67
tupian,22,14,63.64
chibchan,16,10,62.50
siouan,13,8,61.54
guaicuruan,5,3,60.00
